capability,Manager,Course_Creator,Tutor,Non_Edit,Student,Guest,Course_Administrator,UCL_Support_Staff,Participant,Authenticated_user,Enrolment_keyholder,Service_Desk_Administrator,CALT_Support,Sub_Administrator,Question_Sharer,Overviewing_Advisor,Report_Reader,Report_Writer,Leader,Library_Administrator,Webservice_role,Personal_Tutor_Role,Course_Administrator_no_email,MyFeedback_Departmental_Administrator,Digital_Education_Admin,QAA_Reviewer,Non_editing_Tutor_no_emails
moodle/course:useremail,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:view,NULL,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,X,X,X
moodle/course:viewhiddenactivities,X,NULL,"X,X,X,X,X,X","X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",X,X,NULL,"X,X,X,X,X",NULL,NULL,NULL,X,X,NULL,"X,X",NULL,NULL,"X,X,X,X","X,X",NULL,NULL,X,NULL,X,NULL,NULL
moodle/course:viewhiddencourses,X,X,"X,X","X,X","X,X",NULL,X,NULL,"X,X",NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/course:viewhiddensections,X,NULL,"X,X","X,X,X,X,X,X","X,X",NULL,X,NULL,"X,X,X",NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/course:viewhiddenuserfields,X,NULL,"X,X",X,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/course:viewparticipants,X,NULL,X,X,"X,X,X,X,X,X,X",NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
moodle/course:viewscales,X,NULL,"X,X",X,"X,X,X,X,X,X,X",NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
moodle/course:viewsuspendedusers,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:visibility,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/filter:manage,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/grade:edit,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/grade:export,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/grade:hide,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/grade:import,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/grade:lock,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/grade:manage,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/grade:managegradingforms,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/grade:manageletters,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/grade:manageoutcomes,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/grade:managesharedforms,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/grade:sharegradingforms,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/grade:unlock,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/grade:view,NULL,NULL,X,NULL,"X,X,X,X,X,X,X",NULL,NULL,X,"X,X",NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
moodle/grade:viewall,X,NULL,"X,X",X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/grade:viewhidden,X,NULL,"X,X",X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/my:configsyspages,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/my:manageblocks,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
moodle/notes:manage,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/notes:view,X,NULL,X,X,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/portfolio:export,NULL,NULL,X,X,X,NULL,X,X,X,X,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,X,X,X
moodle/question:add,X,X,"X,X",NULL,"X,X,X",NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,X,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/question:config,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/question:editall,X,X,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,X,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/question:editmine,X,X,"X,X",NULL,"X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/question:flag,X,NULL,X,X,X,NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
moodle/question:managecategory,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,X,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/question:moveall,X,X,"X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/question:movemine,X,X,"X,X,X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/question:useall,X,X,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/question:usemine,X,X,"X,X",NULL,"X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/question:viewall,X,X,"X,X","X,X","X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/question:viewmine,X,X,"X,X",NULL,"X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/rating:rate,"X,X",NULL,"X,X,X,X","X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",X,X,"X,X","X,X,X,X,X,X,X,X,X,X,X,X,X",X,NULL,NULL,"X,X","X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X","X,X",NULL,X,NULL,NULL,"X,X","X,X"
moodle/rating:view,X,NULL,"X,X,X,X","X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",X,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X",X,NULL,NULL,X,X,NULL,X,NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,X,X
moodle/rating:viewall,X,NULL,"X,X,X,X","X,X,X","X,X,X",X,X,X,"X,X",X,NULL,NULL,X,X,NULL,"X,X",NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,X,X
moodle/rating:viewany,X,NULL,"X,X,X,X","X,X,X","X,X,X",X,"X,X",X,"X,X",X,NULL,NULL,X,X,NULL,X,NULL,NULL,"X,X,X","X,X",X,NULL,X,NULL,NULL,X,X
moodle/restore:configure,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/restore:createuser,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/restore:restoreactivity,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/restore:restorecourse,X,X,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/restore:restoresection,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/restore:restoretargethub,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/restore:restoretargetimport,X,X,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/restore:rolldates,X,X,NULL,NULL,"X,X",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/restore:uploadfile,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/restore:userinfo,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/restore:viewautomatedfilearea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/role:assign,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/role:manage,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/role:override,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/role:review,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/role:safeoverride,NULL,NULL,"X,X,X",X,X,NULL,"X,X",NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
moodle/role:switchroles,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/search:query,X,NULL,X,X,X,X,X,X,X,X,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
moodle/site:accessallgroups,"X,X",NULL,"X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",X,"X,X",NULL,"X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,X,"X,X",NULL,X,NULL,NULL,"X,X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL
moodle/site:approvecourse,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/site:config,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
moodle/site:deleteanymessage,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/site:deleteownmessage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/site:doclinks,X,X,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/site:manageblocks,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
moodle/site:mnetlogintoremote,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
moodle/site:readallmessages,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/site:sendmessage,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/site:trustcontent,X,X,"X,X,X,X",NULL,"X,X,X",X,X,NULL,X,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,"X,X,X",X,X,NULL,X,NULL,X,NULL,NULL
moodle/site:uploadusers,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/site:viewfullnames,"X,X","X,X","X,X,X,X,X","X,X,X,X,X","X,X,X,X,X,X",X,X,NULL,X,NULL,NULL,X,X,"X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X",X,NULL,X,NULL,X,NULL,NULL
moodle/site:viewparticipants,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/site:viewreports,X,NULL,"X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/site:viewuseridentity,X,NULL,X,"X,X",NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/tag:edit,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/tag:editblocks,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/tag:flag,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/tag:manage,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/user:changeownpassword,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:create,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:delete,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:editmessageprofile,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:editownmessageprofile,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:editownprofile,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:editprofile,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:loginas,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/user:manageblocks,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:manageownblocks,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:manageownfiles,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:managesyspages,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:readuserblogs,X,X,X,X,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,X,X,NULL,NULL,X,X
moodle/user:readuserposts,X,X,"X,X,X",X,"X,X",NULL,"X,X",X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,X,X,NULL,NULL,X,X
moodle/user:update,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:viewalldetails,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,NULL,NULL
moodle/user:viewdetails,X,X,X,X,"X,X,X,X,X,X,X","X,X",X,X,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X,X,X,X,NULL,NULL,X,X
moodle/user:viewhiddendetails,X,X,"X,X",X,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/user:viewlastip,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/user:viewuseractivitiesreport,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,X,X,NULL,NULL,NULL,NULL
moodle/webservice:createmobiletoken,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/webservice:createtoken,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
plagiarism/turnitin:enable,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
plagiarism/turnitin:viewfullreport,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
quiz/grading:viewidnumber,X,X,"X,X,X,X","X,X,X",X,NULL,"X,X,X","X,X",NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
quiz/grading:viewstudentnames,X,X,"X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X",X,NULL,"X,X,X,X,X","X,X",NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,"X,X,X",X,NULL,NULL,"X,X",NULL,NULL,NULL,NULL
quiz/statistics:view,X,X,"X,X,X,X","X,X,X","X,X",NULL,"X,X,X","X,X",X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
report/completion:view,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
report/courseoverview:view,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
report/filetrash:view,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
report/log:view,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
report/log:viewtoday,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
report/loglive:view,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
report/myfeedback:modtutor,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL
report/myfeedback:personaltutor,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,NULL,NULL
report/myfeedback:progadmin,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,NULL
report/myfeedback:student,NULL,NULL,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
report/myfeedback:view,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
report/outline:view,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
report/participation:view,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
report/performance:view,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
